City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
568,Key West,US,86.0,few clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
570,Lalmohan,BD,83.8,scattered clouds,22.3384,90.7419,Arifur Rahman Miraj
573,Galesong,ID,77.02,scattered clouds,-5.3166,119.3661,Sapriadi Appy
582,Hirara,JP,77.45,light rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
584,Tabou,CI,75.33,overcast clouds,4.423,-7.3528,hotêl doufoulougou
590,Dingle,PH,83.08,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
592,Manta,EC,76.78,broken clouds,-0.95,-80.7333,Balandra Hotel
594,Turbat,PK,88.21,clear sky,26.0023,63.044,Mubashar Quarters
595,Kudahuvadhoo,MV,83.07,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
597,Placerville,US,85.51,clear sky,38.7296,-120.7986,Historic Cary House Hotel
601,Sola,VU,84.87,broken clouds,-13.8833,167.55,Leumerus Bungalows
604,Floriano,BR,75.7,few clouds,-6.7669,-43.0225,Hotel Maktub
618,Coruripe,BR,75.72,few clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
623,Vanimo,PG,84.27,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
624,Lampang,TH,77.86,broken clouds,18.3333,99.5,Mrs Luis Guest House
631,Banjarmasin,ID,77.14,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
632,Campoverde,PE,82.09,broken clouds,-8.4753,-74.8058,Hospedaje Coral's
634,Hue,VN,78.91,scattered clouds,16.4667,107.6,Saigon Morin Hotel
637,Rincon,US,79.86,thunderstorm,32.296,-81.2354,Days Inn Rincon
639,Forbesganj,IN,77.61,overcast clouds,26.3,87.25,होटल
662,Noumea,NC,79.0,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
665,The Valley,AI,80.82,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
669,Huainan,CN,75.94,clear sky,32.6264,116.9969,GME Huainan Tianjiaan District Chaoyang East Road Hotel
670,Kontagora,NG,78.12,overcast clouds,10.3999,5.4695,Queens Guest Inn
